Total:
36081
"term" "count"
"amore" "amore" 1
"available" "available" 13
"buffet" "buffet" 2
"bugis" "bugis" 7
"cine" "cine" 7
"crazy" "crazy" 10
"got" "got" 233
"great" "great" 100
"jurong" "jurong" 1
"point" "point" 13
"wat" "wat" 95
"world" "world" 32
"joking" "joking" 6
"lar" "lar" 38
"oni" "oni" 4
"wif" "wif" 27
"already" "already" 89
"dun" "dun" 55
"early" "early" 33
"hor" "hor" 2
"say" "say" 91
"around" "around" 59
"dont" "dont" 265
"goes" "goes" 26
"lives" "lives" 4
"nah" "nah" 10
"think" "think" 128
"though" "though" 26
"usf" "usf" 11
"aids" "aids" 1
"brother" "brother" 18
"even" "even" 57
"like" "like" 231
"patent" "patent" 1
"speak" "speak" 23
"treat" "treat" 16
"callers" "callers" 5
"callertune" "callertune" 10
"copy" "copy" 9
"friends" "friends" 53
"melle" "melle" 6
"minnaminunginte" "minnaminunginte" 3
"nurungu" "nurungu" 3
"oru" "oru" 4
"per" "per" 13
"press" "press" 10
"request" "request" 7
"set" "set" 19
"vettam" "vettam" 3
"anymore" "anymore" 8
"cried" "cried" 1
"enough" "enough" 27
"gonna" "gonna" 58
"home" "home" 160
"ive" "ive" 73
"soon" "soon" 56
"stuff" "stuff" 42
"talk" "talk" 40
"today" "today" 125
"tonight" "tonight" 58
"want" "want" 164
"blessing" "blessing" 2
"breather" "breather" 1
"fulfil" "fulfil" 1
"granted" "granted" 1
"help" "help" 36
"promise" "promise" 9
"right" "right" 89
"searching" "searching" 5
"take" "take" 112
"thank" "thank" 27
"times" "times" 25
"will" "will" 339
"wonderful" "wonderful" 16
"wont" "wont" 53
"words" "words" 22
"date" "date" 9
"sunday" "sunday" 8
"kim" "kim" 1
"watching" "watching" 34
"make" "make" 88
"name" "name" 34
"naughty" "naughty" 7
"remember" "remember" 31
"spell" "spell" 3
"wet" "wet" 3
"yes" "yes" 71
"feel" "feel" 62
"fine" "fine" 45
"gota" "gota" 1
"thats" "thats" 4
"way" "way" 100
"seriously" "seriously" 9
"going" "going" 167
"i‘m" "i‘m" 5
"months" "months" 10
"try" "try" 45
"comin" "comin" 11
"first" "first" 56
"pay" "pay" 31
"stock" "stock" 5
"aft" "aft" 19
"ard" "ard" 21
"finish" "finish" 42
"lor" "lor" 160
"lunch" "lunch" 45
"smth" "smth" 16
"str" "str" 3
"alright" "alright" 23
"can" "can" 376
"ffffffffff" "ffffffffff" 1
"meet" "meet" 72
"sooner" "sooner" 4
"eat" "eat" 38
"forced" "forced" 1
"getting" "getting" 46
"hungry" "hungry" 12
"just" "just" 290
"knows" "knows" 9
"lol" "lol" 73
"mark" "mark" 8
"pizza" "pizza" 8
"really" "really" 85
"sick" "sick" 9
"slice" "slice" 2
"sucks" "sucks" 7
"tho" "tho" 17
"turn" "turn" 3
"worried" "worried" 9
"always" "always" 57
"convincing" "convincing" 1
"bus" "bus" 30
"catch" "catch" 9
"dinner" "dinner" 35
"eating" "eating" 7
"egg" "egg" 4
"frying" "frying" 3
"left" "left" 30
"love" "love" 190
"moms" "moms" 9
"tea" "tea" 6
"amp" "amp" 84
"back" "back" 129
"car" "car" 39
"ill" "ill" 238
"know" "know" 232
"let" "let" 70
"now" "now" 289
"packing" "packing" 1
"room" "room" 34
"theres" "theres" 26
"ahhh" "ahhh" 1
"vaguely" "vaguely" 1
"work" "work" 97
"clear" "clear" 3
"doesnt" "doesnt" 26
"live" "live" 17
"sarcastic" "sarcastic" 2
"still" "still" 147
"sure" "sure" 71
"thats" "thats" 95
"wait" "wait" 57
"actin" "actin" 1
"apologetic" "apologetic" 1
"badly" "badly" 1
"caught" "caught" 3
"cheers" "cheers" 8
"child" "child" 2
"fallen" "fallen" 1
"spoilt" "spoilt" 1
"till" "till" 21
"yeah" "yeah" 85
"anything" "anything" 75
"tell" "tell" 121
"cuppa" "cuppa" 1
"fainting" "fainting" 1
"fear" "fear" 3
"housework" "housework" 1
"quick" "quick" 8
"learn" "learn" 5
"lesson" "lesson" 17
"look" "look" 28
"may" "may" 41
"msg" "msg" 54
"timings" "timings" 1
"xuhui" "xuhui" 3
"yup" "yup" 43
"done" "done" 45
"oops" "oops" 10
"roommates" "roommates" 5
"letter" "letter" 4
"see" "see" 138
"decide" "decide" 9
"decided" "decided" 16
"hello" "hello" 46
"hows" "hows" 45
"invite" "invite" 3
"saturday" "saturday" 9
"texting" "texting" 5
"tomo" "tomo" 17
"trying" "trying" 28
"youd" "youd" 8
"abiola" "abiola" 11
