Total:
10064
"term" "count"
"apply" "apply" 30
"comp" "comp" 10
"cup" "cup" 5
"entry" "entry" 26
"final" "final" 16
"free" "free" 219
"may" "may" 7
"overs" "overs" 2
"questionstd" "questionstd" 2
"ratetcs" "ratetcs" 2
"receive" "receive" 33
"text" "text" 121
"tkts" "tkts" 4
"txt" "txt" 150
"win" "win" 61
"wkly" "wkly" 14
"back" "back" 23
"chgs" "chgs" 1
"darling" "darling" 2
"freemsg" "freemsg" 12
"fun" "fun" 9
"hey" "hey" 5
"like" "like" 13
"now" "now" 190
"rcv" "rcv" 4
"send" "send" 68
"std" "std" 9
"still" "still" 7
"weeks" "weeks" 11
"word" "word" 22
"xxx" "xxx" 12
"call" "call" 346
"claim" "claim" 111
"code" "code" 29
"customer" "customer" 49
"hours" "hours" 6
"network" "network" 25
"prize" "prize" 90
"receivea" "receivea" 2
"reward" "reward" 10
"selected" "selected" 25
"valid" "valid" 23
"valued" "valued" 11
"winner" "winner" 16
"camera" "camera" 33
"colour" "colour" 17
"entitled" "entitled" 8
"latest" "latest" 36
"mobile" "mobile" 124
"mobiles" "mobiles" 12
"months" "months" 6
"update" "update" 19
"cash" "cash" 62
"chances" "chances" 2
"cost" "cost" 23
"csh" "csh" 2
"days" "days" 16
"info" "info" 12
"pday" "pday" 2
"pounds" "pounds" 17
"reply" "reply" 101
"six" "six" 3
"tsandcs" "tsandcs" 2
"jackpot" "jackpot" 2
"lccltd" "lccltd" 2
"ldnwarw" "ldnwarw" 2
"membership" "membership" 2
"pobox" "pobox" 30
"urgent" "urgent" 62
"week" "week" 49
"won" "won" 70
"wwwdbuknet" "wwwdbuknet" 2
"click" "click" 5
"credit" "credit" 9
"httpwap" "httpwap" 1
"link" "link" 6
"message" "message" 32
"next" "next" 16
"use" "use" 8
"wap" "wap" 10
"xxxmobilemovieclub" "xxxmobilemovieclub" 1
"xxxmobilemovieclubcomnqjkgighjjgcbl" "xxxmobilemovieclubcomnqjkgighjjgcbl" 1
"dont" "dont" 22
"england" "england" 9
"goalsteam" "goalsteam" 1
"macedonia" "macedonia" 1
"miss" "miss" 7
"national" "national" 12
"news" "news" 10
"poboxoxwwq" "poboxoxwwq" 1
"scotland" "scotland" 1
"team" "team" 3
"trywales" "trywales" 1
"txtú" "txtú" 1
"charged" "charged" 11
"confirm" "confirm" 1
"please" "please" 54
"replying" "replying" 6
"ringtone" "ringtone" 26
"subscription" "subscription" 4
"thanks" "thanks" 14
"will" "will" 44
"yes" "yes" 21
"£month" "£month" 1
"burns" "burns" 1
"camcorder" "camcorder" 15
"delivery" "delivery" 21
"msg" "msg" 27
"nokia" "nokia" 69
"rodger" "rodger" 1
"sms" "sms" 24
"tomorrow" "tomorrow" 10
"tried" "tried" 17
"correct" "correct" 4
"detroit" "detroit" 1
"devils" "devils" 1
"end" "end" 15
"hockey" "hockey" 1
"ice" "ice" 1
"incorrect" "incorrect" 1
"jersey" "jersey" 1
"new" "new" 69
"play" "play" 18
"red" "red" 1
"sptv" "sptv" 2
"wings" "wings" 1
"bxipwe" "bxipwe" 3
"cinema" "cinema" 3
"congrats" "congrats" 10
"etc" "etc" 7
"matrix" "matrix" 3
